Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;insegna;settore_merceologico;settore_storico_cf_n;settore_storico_cf_preval;settore_storico_cf_s;superficie_totale;superficie_vendita;MUNICIPIO;LONGIT;LATIT;Location
C-EV/22716;Via MESSINA N. 43| isolato:020| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via MESSINA;43;7211;autosport milano;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) ;autoveicoli;settore non alimentare;450;350;8;9.1718356609;45.4878517323;45.4878517323, 9.1718356609
C-EV/78292;Piazza DUCA D'AOSTA int. staz centrale num.000| accesso: accesso interno| ();VENDITA - In sede fissa;Piazza DUCA D'AOSTA;;1200;bershka;non alimentare;abbigliamento e accessori ;abbigliamento;settore non alimentare;491;350;;;;
C-EV/68149;Via FOSCOLO UGO N. 8|via foscolo ugo 008| isolato:415| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via FOSCOLO UGO;8;205;;Non Alimentare;abbigliamento, articoli e accessori di abbigliamento, biancheria intima, calzature e pelletteria, profumeria, oggettistica. ;abbigliamento;settore non alimentare;465;350;1;9.19083870085;45.4657481683;45.4657481683, 9.19083870085
C-EV/46634;Corso VERCELLI N. 38| isolato:215| accesso: accesso esterno| (z.d. 7);VENDITA - In sede fissa;Corso VERCELLI;38;6193;borghi;non alimentare;abbigliamento e accessori moda ;abbigliamento;settore non alimentare;350;350;7;9.15870984856;45.4667243299;45.4667243299, 9.15870984856
C-EV/47661;Viale ESPINASSE CARLO N. 110| isolato:194| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Viale ESPINASSE CARLO;110;7390;concess.lancia saicar;non alimentare;(con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma)  attivita' prevalente: commercio di autoveicoli ;autoveicoli;settore non alimentare;350;350;8;9.14025591523;45.5002373071;45.5002373071, 9.14025591523
C-EV/58995;Via MANZONI ALESSANDRO num.021/23| isolato:313| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via MANZONI ALESSANDRO;;230;le copen;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  attivita' prevalente: commercio abbigliamento e relativi accessori ;abbigliamento donna;settore non alimentare;521;351;;;;
C-EV/67520;Piazza OBERDAN GUGLIELMO num.002/a| isolato:152| (z.d. 1);VENDITA - In sede fissa;Piazza OBERDAN GUGLIELMO;;2108;;Non Alimentare;abbigliamento e accessori ;abbigliamento;settore non alimentare;397;351;;;;
EV/115870;GALLERIA PASSARELLA N. 2 (z.d. 1);VENDITA - In sede fissa;GALLERIA PASSARELLA;2;303;;Non Alimentare;;;;512;352;1;9.19713258636;45.4656162338;45.4656162338, 9.19713258636
EV/113169;Piazza MARIA BELTRADE (SANTA) N. 1 (z.d. 1);VENDITA - In sede fissa;Piazza MARIA BELTRADE (SANTA);1;514;;Alimentare|Non Alimentare;;;;522;352;1;9.18650926498;45.4627341212;45.4627341212, 9.18650926498
EV/115923;PIAZZA BABILA (SAN) N. 5 (z.d. 1);VENDITA - In sede fissa;PIAZZA BABILA (SAN);5;703;;Non Alimentare;;;;547;354;1;9.18175754648;45.4712484964;45.4712484964, 9.18175754648
C-EV/216;Via LENTASIO N. 1|via lentasio 001| isolato:270| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via LENTASIO;1;410;;non alimentare;;abbigliamento;ix|x;605;355;1;9.19153736956;45.4582158796;45.4582158796, 9.19153736956
C-EV/42122;PIAZZALE BAIAMONTI ANTONIO N. 4 isolato:313| accesso: accesso esterno| (z.d. 9);VENDITA - In sede fissa;PIAZZALE BAIAMONTI ANTONIO;4;703;punto sma;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  attivita' prevalente vendita al dettaglio di generi alimentari e non ;minimercati;settore alimentare/non aliment;566;355;1;9.18173635775;45.4716204823;45.4716204823, 9.18173635775
C-EV/68208;Via RUTILIA num.010/8| isolato:001| accesso: accesso interno| (z.d. 5);VENDITA - In sede fissa;Via RUTILIA;;4229;acquazzurra;alimentare|non alimentare;;minimercati;settore alimentare/non aliment;450;355;;;;
EV/109315;Via PROSPERO (SAN) N. 1 (z.d. 1);VENDITA - In sede fissa;Via PROSPERO (SAN);1;721;;Non Alimentare;;;;427;355;1;9.18600320658;45.4659922188;45.4659922188, 9.18600320658
C-EV/10948;Via BODONI GIAMBATTISTA N. 2| isolato:299| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via BODONI GIAMBATTISTA;2;7261;;non alimentare;;abbigliamento;xiv-filati|xi (cont.ant. d.m. 375/88)|x|ix (cont.antec. d.m. 375/88);356;356;8;9.15051234993;45.493131372;45.493131372, 9.15051234993
C-EV/35440;Galleria STRASBURGO N. 3|gll strasburgo 003| isolato:317| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Galleria STRASBURGO;3;297;;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specificodiploma)  ;profumeria;settore non alimentare;357;357;1;9.19780798925;45.4649182569;45.4649182569, 9.19780798925
C-EV/48983;Via PONTACCIO N. 15|via pontaccio 015| isolato:298| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via PONTACCIO;15;143;calzature abbigliamento;Non Alimentare;(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: vendita calzature abbigliamento ed accessori ;calzature;settore non alimentare;370;358;1;9.18564124441;45.4724559753;45.4724559753, 9.18564124441
C-EV/13907-1;Via VALTELLINA N. 17| isolato:105| accesso: accesso interno| (z.d. 7);VENDITA - In sede fissa;Via VALTELLINA;17;1188;;non alimentare;;elettricita' e idraulica;xiv sub 6|xiv sub 1|xiv sub 15|xiv;358;358;9;9.18246689818;45.4939223344;45.4939223344, 9.18246689818
C-EV/72279;Via BARNABA (SAN) N. 27| isolato:201| (z.d. 1);VENDITA - In sede fissa;Via BARNABA (SAN);27;3010;;non alimentare;abbigliamento ed accessori persona indicata alla vendita: giorgi jennifer ;abbigliamento;settore non alimentare;358;358;1;9.19922266177;45.4598836699;45.4598836699, 9.19922266177
EV/107445;Via FATEBENEFRATELLI N. 10 (z.d. 1);VENDITA - In sede fissa;Via FATEBENEFRATELLI;10;144;;Non Alimentare;;;;560;359;1;9.18979254842;45.4730413301;45.4730413301, 9.18979254842
C-EV/42624;VIA ROSSI PELLEGRINO N. 80| isolato:183| accesso: accesso esterno| (z.d. 9);VENDITA - In sede fissa;VIA ROSSI PELLEGRINO;80;1510;conad;alimentare|non alimentare;supermercato  ;minimercati;settore alimentare/non aliment;680;360;9;9.1737896876;45.5139184104;45.5139184104, 9.1737896876
C-EV/31137;VIA AMPERE ANDREA MARIA N. 103| isolato:011| accesso: accesso esterno| (z.d. 3);VENDITA - In sede fissa;VIA AMPERE ANDREA MARIA;103;703;carrefour;alimentare|non alimentare;con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma  ;supermercato alimentare;settore alimentare/non aliment;423;360;;;;
C-EV/7696;Via SOLARI ANDREA N. 6| isolato:019| accesso: accesso esterno| (z.d. 6);VENDITA - In sede fissa;Via SOLARI ANDREA;6;5111;salvini;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  ;minimercati;settore alimentare/non aliment;360;360;6;9.16497937991;45.4560918369;45.4560918369, 9.16497937991
C-EV/11221;Via AMADEO GIAN ANTONIO N. 40| isolato:200| accesso: accesso esterno| (z.d. 3);VENDITA - In sede fissa;Via AMADEO GIAN ANTONIO;40;3228;;non alimentare;;ferramenta e ottonami;xii sub 2|xiv sub 22|xiv sub 1|xiii (cont.antec. d.m. 375/88)|xiv sub 16|xii sub 3;584;360;3;9.23468806504;45.4708435314;45.4708435314, 9.23468806504
EV/112743;CORSO VENEZIA N. 7/1 (z.d. 1);VENDITA - In sede fissa;CORSO VENEZIA;7/1;238;;Non Alimentare;;;;589;360;1;9.19823889108;45.4678378244;45.4678378244, 9.19823889108
C-EV/32029;Viale LIGURIA num.028| isolato:156| accesso: accesso esterno| (z.d. 6);VENDITA - In sede fissa;Viale LIGURIA;;5264;;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) ;autoveicoli;settore non alimentare;361;361;;;;
C-EV/73706;VIA MANZONI ALESSANDRO N. 30|via manzoni alessandro 030| isolato:255| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;VIA MANZONI ALESSANDRO;30;230;;non alimentare;abbigliamento e accessori. ;abbigliamento;settore non alimentare;423;361;1;9.19343576768;45.4705548749;45.4705548749, 9.19343576768
EV/116344;VIA BIGLI N. 16 (z.d. 1);VENDITA - In sede fissa;VIA BIGLI;16;224;;Non Alimentare;;;;495;361;1;9.19360941189;45.4690357001;45.4690357001, 9.19360941189
C-EV/23982;Via NERINO N. 12|via nerino 012| isolato:349| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via NERINO;12;564;;non alimentare;;tappeti;xiv sub 34;587;362;1;9.18317154196;45.4609511852;45.4609511852, 9.18317154196
C-EV/42686;VIA ARCO N. 2 via arco 002| isolato:295| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;VIA ARCO;2;703;;alimentare|non alimentare;minimarket  ;minimercati;settore alimentare/non aliment;991;364;;;;
C-EV/33184;Via ANDREA (SANT') N. 9|via sant' andrea 009| isolato:260| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via ANDREA (SANT');9;222;;non alimentare;;abbigliamento;ix (cont.antec. d.m. 375/88)|xiv sub 55|xiv sub 12|xi (cont.ant. d.m. 375/88)|xiv sub 13/b|xiv sub 19|xiv sub 2|xiv sub 56;364;364;1;9.19608696396;45.4686537284;45.4686537284, 9.19608696396
EV/103490;VIA CIRCO N. 1 (z.d. 1);VENDITA - In sede fissa;VIA CIRCO;1;703;;Alimentare|Non Alimentare;;;;791;364;1;9.18210764913;45.4714865088;45.4714865088, 9.18210764913
C-EV/36701;Via MONTE NAPOLEONE N. 5|via monte napoleone 005| isolato:315| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via MONTE NAPOLEONE;5;219;etro;non alimentare;articoli di abbigliamento, accessori, pelletteria ed articoli di profumeria ;abbigliamento;settore non alimentare;365;365;1;9.1956629661;45.4677775374;45.4677775374, 9.1956629661
EV/115464;CORSO VENEZIA N. 3 (z.d. 1);VENDITA - In sede fissa;CORSO VENEZIA;3;238;;Non Alimentare;;;;1060;365;1;9.19791902453;45.4674139065;45.4674139065, 9.19791902453
C-EV/34930;Viale MONZA N. 75| isolato:322| accesso: accesso esterno| (z.d. 2);VENDITA - In sede fissa;Viale MONZA;75;2274;morotti arredamenti;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: arredamenti ;mobili;settore non alimentare;568;366;2;9.21890139399;45.4940992106;45.4940992106, 9.21890139399
C-EV/21986;VIA SENATORE (SAN) N. 16|via santa sofia 022| isolato:271| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;VIA SENATORE (SAN);16;703;carrefour;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma)  attivita' prevalente: commercio al dettaglio generi alimentari ;supermercato alimentare;settore alimentare/non aliment;424;368;;;;
EV/108993;PIAZZALE PORTA LODOVICA (DI) N. 3 (z.d. 5);VENDITA - In sede fissa;PIAZZALE PORTA LODOVICA (DI);3;4039;;Alimentare|Non Alimentare;;;;1797;368;5;9.18702148449;45.4519025086;45.4519025086, 9.18702148449
EV/111455;Corso BUENOS AIRES N. 39 (z.d. 3);VENDITA - In sede fissa;Corso BUENOS AIRES;39;2129;;Non Alimentare;;;;479;369;3;9.21037123992;45.479972797;45.479972797, 9.21037123992
C-EV/44915;VIALE ABRUZZI N. 54| isolato:065| accesso: accesso esterno| (z.d. 3);VENDITA - In sede fissa;VIALE ABRUZZI;54;703;carrefour;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma)  attivita' prevalente: commercio al dettaglio generi alimentari ;supermercato alimentare;settore alimentare/non aliment;413;370;;;;
C-EV/46202;Via MAESTRI CAMPIONESI N. 25| isolato:074| accesso: accesso esterno| (z.d. 4);VENDITA - In sede fissa;Via MAESTRI CAMPIONESI;25;3197;super union;non alimentare;elaboratori elettronici,hardware e software,prodotti per l'informatica e per l'ufficio in genere,accessori e parti di ricambio|;in attesa di revoca;xiv|xiv-computers;370;370;4;9.21560517744;45.4564574923;45.4564574923, 9.21560517744
C-EV/14005-1;Via ASTESANI ALESSANDRO N. 17| isolato:100| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via ASTESANI ALESSANDRO;17;1558;;;;mobili;;370;370;9;9.17100480683;45.5175677475;45.5175677475, 9.17100480683
C-EV/43556;Via BASSI UGO N. 5| isolato:257| accesso: accesso esterno| (z.d. 9);VENDITA - In sede fissa;Via BASSI UGO;5;1143;bernardi abbigliamento;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  ;abbigliamento;settore non alimentare;371;371;9;9.18447265656;45.4890523882;45.4890523882, 9.18447265656
C-EV/43556;Via BASSI UGO N. 5| isolato:257| accesso: accesso esterno| (z.d. 9);VENDITA - In sede fissa;Via BASSI UGO;5;1143;bernardi abbigliamento;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  ;abbigliamento;settore non alimentare;371;371;9;9.18447265656;45.4890523882;45.4890523882, 9.18447265656
EV/102594;Via LOPEZ SABATINO N. 9 (z.d. 8);VENDITA - In sede fissa;Via LOPEZ SABATINO;9;7369;;Alimentare|Non Alimentare;;;;594;372;8;9.14687852222;45.5139630324;45.5139630324, 9.14687852222
EV/105869;PIAZZA GAE AULENTI N. 6 (z.d. 9);VENDITA - In sede fissa;PIAZZA GAE AULENTI;6;703;;Non Alimentare;;;;508;372;1;9.18151644951;45.471470812;45.471470812, 9.18151644951
C-EV/31822;Viale CERTOSA N. 36| isolato:316| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Viale CERTOSA;36;7174;;non alimentare;;cine-foto-ottica-art.scientifi;xiv sub 13/b|xii sub 3|xiv sub 13/a|xiii (cont.antec. d.m. 375/88);700;374;8;9.15055682675;45.4907468073;45.4907468073, 9.15055682675
C-EV/28860;Via LACAITA GIACOMO FILIPPO N. 2| isolato:076| accesso: accesso interno| (z.d. 4);VENDITA - In sede fissa;Via LACAITA GIACOMO FILIPPO;2;4308;evolution;non alimentare;;abbigliamento;xiv sub 43|xii sub 2|ix|xii sub 1|x|xiv sub 25|xii sub 3;375;375;4;9.23616839755;45.4351065441;45.4351065441, 9.23616839755
C-EV/28860;Via LACAITA GIACOMO FILIPPO N. 2| isolato:076| accesso: accesso interno| (z.d. 4);VENDITA - In sede fissa;Via LACAITA GIACOMO FILIPPO;2;4308;evolution;non alimentare;;abbigliamento;xiv sub 43|xii sub 2|ix|xii sub 1|x|xiv sub 25|xii sub 3;375;375;4;9.23616839755;45.4351065441;45.4351065441, 9.23616839755
C-EV/10332;Via VODICE N. 3| isolato:252| accesso: accesso esterno| (z.d. 7);VENDITA - In sede fissa;Via VODICE;3;6552;;non alimentare;;autoveicoli;xiv sub 10;375;375;7;9.14236035599;45.475101623;45.475101623, 9.14236035599
C-EV/60118;Piazzale PORTELLO N. 3N08 (z.d. 1);VENDITA - In sede fissa;Piazzale PORTELLO;3N08;7561;;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: calzature e articoli in cuoio ;;settore non alimentare;503;375;8;9.14620691363;45.4900956807;45.4900956807, 9.14620691363
C-EV/54882;Piazza LIBERTY (DEL) N. 2|pza del liberty 002| isolato:361| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Piazza LIBERTY (DEL);2;98;marella;Non Alimentare;(con esclusione di quei prodotti per i quali e' previsto per legge specifico diploma) attivita' prevalente: abbigliamento femminile, calzature, pelletteria ed accessori  ;abbigliamento donna;settore non alimentare;714;376;1;9.19421296043;45.465321535;45.465321535, 9.19421296043
C-EV/40338;Via TAZZOLI ENRICO N. 11 loc. interno| isolato:293| accesso: accesso interno| (z.d. 9);VENDITA - In sede fissa;Via TAZZOLI ENRICO;11;1118;;non alimentare;;galleria d'arte;xiv-antichita' e opere d' arte;376;376;9;9.18367507895368;45.4849632772223;45.4849632772223, 9.18367507895368
C-EV/7;Galleria BABILA (SAN) num.004/c| isolato:264| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Galleria BABILA (SAN);;360;vannucci;non alimentare;attivita' prevalente: abbigliamento uomo donna ;abbigliamento;settore non alimentare;505;380;;;;
C-EV/50081;Via GIOVANNI SUL MURO (SAN) N. 18 in distribuzione|via s. giov. sul muro 018| isolato:291| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via GIOVANNI SUL MURO (SAN);18;609;brandy;non alimentare;abbigliamento e accessori ;abbigliamento;settore non alimentare;380;380;1;9.18041300326;45.4658225409;45.4658225409, 9.18041300326
C-EV/50237;Via DE MARCHI EMILIO N. 37| isolato:064| accesso: accesso esterno| (z.d. 2);VENDITA - In sede fissa;Via DE MARCHI EMILIO;37;1418;castelli elaborazioni elt;non alimentare|tabella speciale carburanti;|(apparecchiature elettroniche) ;apparecch. elettroniche;speciale distrib. carburante|xii-materiale elettrico|xiv prod.meccanica strum e att|xiv prodotti vari;380;380;2;9.20963711922;45.5014131123;45.5014131123, 9.20963711922
C-EV/50628-1;Largo AUGUSTO N. 8|lgo augusto 008| isolato:320| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Largo AUGUSTO;8;315;picking pack service;non alimentare;;macch.e arredamenti per uffici;settore non alimentare;380;380;1;9.19705535503;45.4627949331;45.4627949331, 9.19705535503
C-EV/51227;Via PIERO DELLA FRANCESCA N. 57 aff. az. tacit. rinnov.| isolato:025| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via PIERO DELLA FRANCESCA;57;7188;punto sma;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  ;supermercato alimentare;settore alimentare/non aliment;410;380;8;9.16026143046;45.4860584694;45.4860584694, 9.16026143046
C-EV/42110;Via CASTALDI PANFILO N. 41| isolato:131| accesso: accesso esterno| (z.d. 3);VENDITA - In sede fissa;Via CASTALDI PANFILO;41;2119;matuella;non alimentare;attivita' prevalente ottica - fotografia - telefonia ;cine-foto-ottica-art.scientifi;settore non alimentare;630;380;3;9.20560046958;45.4755986285;45.4755986285, 9.20560046958
C-EV/45590;Via ALUNNO NICOLO' N. 23| isolato:197| accesso: accesso esterno| (z.d. 7);VENDITA - In sede fissa;Via ALUNNO NICOLO';23;6640;;non alimentare;;mobili;settore non alimentare;380;380;7;9.13422074179;45.4645426617;45.4645426617, 9.13422074179
C-EV/35810;Via LEPONTINA N. 12| isolato:206| accesso: accesso interno| (z.d. 9);VENDITA - In sede fissa;Via LEPONTINA;12;1147;;non alimentare;;mobili;xii sub 1;390;380;9;9.18524696265;45.4929932242;45.4929932242, 9.18524696265
C-EV/36100;Via FERRUCCI FRANCESCO N. 6| isolato:085| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via FERRUCCI FRANCESCO;6;7150;grimaldi motors;non alimentare;automobili  ;auto-moto-cicli;settore non alimentare;424;380;8;9.1647929135;45.4798287599;45.4798287599, 9.1647929135
C-EV/49635;Via MEDA GIUSEPPE num.052/b| isolato:008| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via MEDA GIUSEPPE;;5242;hass dal 1811;non alimentare;;arredamenti;xiv prodotti per la casa|xii sub 2|xii sub 1;380;380;;;;
C-EV/21777;Via TOCE N. 11| isolato:207| accesso: accesso esterno| (z.d. 9);VENDITA - In sede fissa;Via TOCE;11;1325;;non alimentare;;combustibili;xiv sub 11;388;380;9;9.18600322338;45.4922446317;45.4922446317, 9.18600322338
C-EV/39162;Via EDOLO N. 26| isolato:146| accesso: accesso esterno| (z.d. 2) edolo 26;VENDITA - In sede fissa;;;;carrefour;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma)  attivita' prevalente commercio al dettaglio generi alimentari ;supermercato alimentare;settore alimentare/non aliment;459;380;;;;
C-EV/22999;PIAZZA BRUZZANO N. 5 isolato:042| accesso: accesso esterno| (z.d. 9);VENDITA - In sede fissa;PIAZZA BRUZZANO;5;703;punto sma;alimentare|non alimentare;;supermercato alimentare;settore alimentare/non aliment;1200;380;1;9.18175754648;45.4712484964;45.4712484964, 9.18175754648
C-EV/23499;VIA MAGISTRETTI PIETRO num.007| accesso: accesso esterno| (z.d. 2);VENDITA - In sede fissa;VIA MAGISTRETTI PIETRO;;703;carrefour;alimentare|non alimentare;con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma  attivit prevalente: vendita aldettaglio generi alimentari ;supermercato alimentare;settore alimentare/non aliment;476;380;;;;
C-EV/50221;Via PIRELLI GIOVANNI BATTISTA N. 30| isolato:297| accesso: accesso esterno| (z.d. 9);VENDITA - In sede fissa;Via PIRELLI GIOVANNI BATTISTA;30;1195;;alimentare|non alimentare;;valigeria, pelletteria;settore alimentare/non aliment;381;381;9;9.19730749968;45.4840421912;45.4840421912, 9.19730749968
C-EV/78783;Corso BUENOS AIRES N. 23 (z.d. 3);VENDITA - In sede fissa;Corso BUENOS AIRES;23;2129;;non alimentare;abbigliamento e accessori ;;settore non alimentare;445;381;3;9.20882575926;45.4784132512;45.4784132512, 9.20882575926
EV/103400;Corso BUENOS AIRES N. 23 (z.d. 3);VENDITA - In sede fissa;Corso BUENOS AIRES;23;2129;;Non Alimentare;;;;445;381;3;9.20882575926;45.4784132512;45.4784132512, 9.20882575926
EV/113801;VIA PORPORA NICOLA ANTONIO N. 125 (z.d. 3);VENDITA - In sede fissa;VIA PORPORA NICOLA ANTONIO;125;2229;;Non Alimentare;;;;497;381;3;9.22853466063;45.4861717073;45.4861717073, 9.22853466063
C-EV/4433;VIA PARAVIA PIER ALESSANDRO N. 77| isolato:241| accesso: accesso esterno| (z.d. 7);VENDITA - In sede fissa;VIA PARAVIA PIER ALESSANDRO;77;703;di per di;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: commercio al dettaglio generi alimentari;supermercato alimentare;settore alimentare/non aliment;556;382;;;;
C-EV/48177;Via GIOIA MELCHIORRE num.177/179| isolato:120| accesso: accesso esterno| (z.d. 2);VENDITA - In sede fissa;Via GIOIA MELCHIORRE;;1108;flli fumagalli garden;non alimentare;;fiori e piante;xiv prod.meccanica strum e att|xiv prodotti per la casa;382;382;;;;
EV/109541;Via MANZONI ALESSANDRO N. 40 (z.d. 1);VENDITA - In sede fissa;Via MANZONI ALESSANDRO;40;230;;Non Alimentare;;;;606;382;1;9.19418783582;45.4712760796;45.4712760796, 9.19418783582
C-EV/12712;Via SPADARI N. 1|via spadari 001| isolato:440| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via SPADARI;1;518;bershka;non alimentare;con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma  ;abbigliamento;settore non alimentare;695;384;1;9.18730859773;45.4632694555;45.4632694555, 9.18730859773
C-EV/12720;Corso MATTEOTTI GIACOMO N. 14|cso matteotti giacomo 014| isolato:316| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Corso MATTEOTTI GIACOMO;14;218;;alimentare|non alimentare;;articoli in gomma e plastica;xiv prodotti per l'edilizia|xii sub 1|xiv prod. sport e tempo libero|vi|xii sub 2|xiv prodotti per la casa|xiv prod.meccanica strum e att;384;384;1;9.19610816298;45.4668030056;45.4668030056, 9.19610816298
C-EV/38221;Via PANZERI PIETRO N. 10| isolato:053| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via PANZERI PIETRO;10;5183;;non alimentare;;tessuti per abbigliamento;x;384;384;1;9.17818542131;45.4532670317;45.4532670317, 9.17818542131
C-EV/39154;Via VESPRI SICILIANI N. 51| isolato:148| accesso: accesso interno| (z.d. 6);VENDITA - In sede fissa;Via VESPRI SICILIANI;51;5137;proto arredamenti;non alimentare;mobili  ;mobili;settore non alimentare;384;384;6;9.14731616919;45.4519977664;45.4519977664, 9.14731616919
C-EV/45532;Viale CASSALA N. 15| isolato:059| accesso: accesso esterno| (z.d. 6);VENDITA - In sede fissa;Viale CASSALA;15;5275;;alimentare|non alimentare;|(con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma)  attivita' prevalente: vendita al dettaglio fiori piante vasi lumini attrezzature per giardinaggio ;fiori e piante;settore alimentare|settore non alimentare;385;385;6;9.15952094562;45.4465967538;45.4465967538, 9.15952094562
C-EV/39744;Via SISMONDI GIANCARLO N. 70 loc,interno| isolato:247| accesso: accesso interno| (z.d. 4);VENDITA - In sede fissa;Via SISMONDI GIANCARLO;70;3256;;non alimentare;;abbigliamento;ix|xiv sub 18;385;385;4;9.23407606263;45.465517448;45.465517448, 9.23407606263
C-EV/36060;Via ANDREA (SANT') num.008/a| isolato:261| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via ANDREA (SANT');;222;banner;non alimentare;;abbigliamento donna;settore non alimentare;386;386;;;;
EV/110656;Via TORINO n. 60 (non risulta censito il civico);VENDITA - In sede fissa;Via TORINO;;543;;Non Alimentare;;;;600;386;;;;
EV/115434;VIA TORINO N. 66 (z.d. 1);VENDITA - In sede fissa;VIA TORINO;66;543;;Non Alimentare;;;;621;386;1;9.18222846236;45.4607502746;45.4607502746, 9.18222846236
C-EV/43591;VIA CANONICA LUIGI N. 54 isolato:106| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;VIA CANONICA LUIGI;54;703;punto sma;alimentare|non alimentare;supermercato  ;minimercati;settore alimentare/non aliment;833;388;;;;
C-EV/49013;Viale PORTA VERCELLINA (DI) N. 16| isolato:237| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Viale PORTA VERCELLINA (DI);16;6213;;non alimentare;;autoveicoli;xiv prod. sport e tempo libero|xiv prod.meccanica strum e att;0;388;1;9.16492496987;45.463995514;45.463995514, 9.16492496987
EV/113161;Via DURINI N. 3 (z.d. 1);VENDITA - In sede fissa;Via DURINI;3;313;;Non Alimentare;;;;774;389;1;9.19745739477;45.4638273438;45.4638273438, 9.19745739477
C-EV/50519;Via SARPI FRA' PAOLO N. 41| isolato:109| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via SARPI FRA' PAOLO;41;7210;supermercati di x di;alimentare|non alimentare;minimarket  ;in attesa di revoca;settore alimentare/non aliment;630;390;1;9.17384867507;45.4811631056;45.4811631056, 9.17384867507
C-EV/54632;VIA NOE ENRICO N. 43 (z.d. 3);VENDITA - In sede fissa;VIA NOE ENRICO;43;703;punto sma;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  attivita' prevalente: vendita al dettaglio ;minimercati;settore alimentare/non aliment;390;390;;;;
C-EV/55270;Via DARWIN CARLO ROBERTO N. 2| isolato:081| accesso: accesso esterno| (z.d. 6);VENDITA - In sede fissa;Via DARWIN CARLO ROBERTO;2;5238;di perdi;alimentare|non alimentare;;minimercati;settore alimentare/non aliment;518;390;6;9.17610193894;45.4455488817;45.4455488817, 9.17610193894
C-EV/34088;Via GIULINI GIORGIO N. 2|via giulini giorgio 002| isolato:371| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via GIULINI GIORGIO;2;613;;non alimentare;;art.per l'arredam.del bagno;xiv sub 31|xiv sub 16;471;390;1;9.18358025033;45.4668413826;45.4668413826, 9.18358025033
